Order ID,Order Date,Product ID,Product Category,Buyer Gender,Buyer Age,Order Location,Latitude,Longitude,International Shipping,Sales Price,Shipping Charges,Sales per Unit,Quantity,Total Sales,Rating,Review
189440,21/7/2024,BF1543,Clothing,Male,30,New Jersey,"39,833851","-74,871826",No,100,0,100,1,100,4,The delivery team handled the product with care.
187385,20/7/2024,BF1543,Clothing,Male,32,Las Vegas,"36,18811","-115,176468",No,100,0,100,1,100,3,Had slight delays but the product was in good shape.
181844,21/7/2024,BF1544,Other,Female,26,Cardiff,"51,481583","-3,17909",Yes,9,40,49,1,49,2,Waste of Money.
197934,19/8/2024,BF1544,Other,Male,28,Pittsburgh,"40,44062","-79,99589",No,9,0,9,2,18,3,Had slight delays but the product was in good shape.
122470,6/1/2024,BF1545,Other,Female,19,Miami,"25,761681","-80,191788",No,10,0,10,3,30,5,Lack of delivery delays is greatly appreciated.
199680,1/6/2024,BF1546,Clothing,Male,29,Sydney,"-33,865143","151,2099",Yes,118,100,218,1,218,1,The product had an underwhelming design.
130929,6/3/2024,BF1547,Ornaments,Male,32,Memphis,"35,1175","-89,971107",No,32,0,32,3,96,4,Premium quality as usual.
164427,16/4/2024,BF1547,Ornaments,Male,26,Miami,"25,761681","-80,191788",No,32,0,32,2,64,3,Not as expected.
149510,22/5/2024,BF1545,Other,Female,26,New York,"40,73061","-73,935242",No,10,0,10,1,10,4,Lack of delivery delays is greatly appreciated.
176280,27/2/2024,BF1548,Clothing,Male,20,Sydney,"-33,865143","151,2099",Yes,65,100,165,1,165,4,Great design is one of the major positives of this product.
196659,5/11/2023,BF1546,Clothing,Female,34,Montreal,"45,508888","-73,561668",Yes,118,25,143,1,143,5,The product was delivered quickly.
146245,24/9/2024,BF1548,Clothing,Male,21,Sacramento,"38,58157","-121,4944",No,65,0,65,1,65,1,There is clear evidence of subpar detailing.
150560,4/10/2024,BF1546,Clothing,Male,29,Las Vegas,"36,18811","-115,176468",No,118,0,118,3,354,5,The product was delivered quickly.
